"qtaxid"	"orphans"	"total"	"proportion"	"ave.length"	"sd.length"	"length.rat"	"sciname"	"family"	"staxid"	"distance"	"N"	"id"	"threshold"	"reference"
"44"	"5843"	81	5918	0.0136870564379858	54.2098765432099	27.6390647677263	12.1958245694436	"Plasmodium falciparum NF54"	"Plasmodium"	"36329"	0.0537440529713963	5905	"seqid"	0.001	FALSE
"45"	"5851"	117	5100	0.0229411764705882	422.965811965812	304.736571699964	1.7343404741437	"Plasmodium knowlesi strain H"	"Plasmodium"	"126793"	0.332260222613902	5100	"seqid"	0.001	TRUE
"46"	"5854"	0	5630	0	NA	NA	NA	"Plasmodium reichenowi"	"Plasmodium"	"36329"	0.154550785014562	5630	"seqid"	0.001	FALSE
"47"	"61853"	125	19733	0.00633456646227132	178.944	95.8785609592306	3.04169713235642	"Nomascus leucogenys"	"Primates"	"9606"	0.117869704766227	19733	"seqid"	0.001	TRUE
"48"	"6238"	2075	21657	0.0958119776515676	152.595662650602	175.66901704388	2.79829319747567	"Caenorhabditis briggsae"	"Caenorhabditis"	"31234"	0.451881229797518	21573	"seqid"	0.001	TRUE
"49"	"6239"	1422	26199	0.054276880796977	135.782700421941	121.017687491274	3.42742657836156	"Caenorhabditis elegans"	"Caenorhabditis"	"31234"	0.419401121025147	26164	"seqid"	0.001	TRUE
"50"	"643680"	4	5982	0.000668672684720829	58.75	36.8091926924059	7.57642419367468	"Saccharomyces cerevisiae EC1118"	"Saccharomyces"	"559292"	0.0150594101299856	5982	"seqid"	0.001	FALSE
"51"	"721032"	17	5776	0.00294321329639889	147.411764705882	81.2435065278523	3.25647374933603	"Saccharomyces cerevisiae Kyokai no. 7"	"Saccharomyces"	"559292"	0.0161852147619903	5776	"seqid"	0.001	FALSE
"52"	"7217"	661	14965	0.0441697293685266	132.062027231467	129.024888701246	3.85061901859179	"Drosophila ananassae"	"Drosophila"	"7245"	0.352614093518994	14956	"seqid"	0.001	FALSE
"53"	"7220"	459	14881	0.0308447012969559	95.2941176470588	47.8717649805492	5.25409670753359	"Drosophila erecta"	"Drosophila"	"7245"	0.159054494917831	14874	"seqid"	0.001	FALSE
"54"	"7222"	587	14753	0.0397885175896428	101.226575809199	58.7792606011803	5.10955460291406	"Drosophila grimshawi"	"Drosophila"	"7244"	0.323431153975947	14719	"seqid"	0.001	FALSE
"55"	"7227"	135	20047	0.00673417468947972	85.4962962962963	56.6947672009618	7.78947454138706	"Drosophila melanogaster"	"Drosophila"	"7238"	0.107278384399603	20043	"seqid"	0.001	TRUE
"56"	"7230"	805	14522	0.0554331359316899	109.063354037267	78.5315300064525	4.74463334786053	"Drosophila mojavensis"	"Drosophila"	"7244"	0.310893671332344	14477	"seqid"	0.001	FALSE
"57"	"7234"	630	16754	0.0376029604870479	101.257142857143	56.482341639684	4.36752574083024	"Drosophila persimilis"	"Drosophila"	"46245"	0.0952225508447272	16744	"seqid"	0.001	FALSE
"58"	"7238"	444	16137	0.027514407882506	90.0810810810811	35.857602783565	5.00189579271443	"Drosophila sechellia"	"Drosophila"	"7240"	0.120401396077499	16130	"seqid"	0.001	FALSE
"59"	"7240"	444	15358	0.0289100143247819	96.5653153153153	43.7650485142872	4.36127380968671	"Drosophila simulans"	"Drosophila"	"7238"	0.0941384896062516	15352	"seqid"	0.001	FALSE
"60"	"7244"	552	14456	0.0381848367459878	102.480072463768	61.2989725075776	5.0829923357446	"Drosophila virilis"	"Drosophila"	"7230"	0.310200145916285	14423	"seqid"	0.001	FALSE
"61"	"7245"	703	15953	0.0440669466558014	102.088193456615	58.0091422700137	4.7801651660816	"Drosophila yakuba"	"Drosophila"	"7220"	0.175359883468085	15938	"seqid"	0.001	FALSE
"62"	"7260"	888	15447	0.0574868906583803	126.668918918919	125.412422953523	4.02726254182673	"Drosophila willistoni"	"Drosophila"	"46245"	0.455192938531523	15417	"seqid"	0.001	FALSE
"63"	"72664"	507	28345	0.0178867525136708	104.447731755424	105.100134493428	3.95406827159327	"Eutrema salsugineum"	"Brassicaceae"	"3702"	0.287548488094453	28333	"seqid"	0.001	FALSE
"64"	"73239"	969	7687	0.126056979315728	76.4654282765738	124.726092840991	6.43073346233396	"Plasmodium yoelii yoelii"	"Plasmodium"	"5823"	0.327508776936775	7560	"seqid"	0.001	TRUE
"65"	"764097"	15	3760	0.00398936170212766	147.333333333333	46.261163388908	2.46020697279631	"Saccharomyces cerevisiae AWRI796"	"Saccharomyces"	"559292"	0.0220923546370077	3760	"seqid"	0.001	FALSE
"66"	"764098"	12	4008	0.0029940119760479	141.416666666667	72.8728136529458	2.6804942833228	"Saccharomyces cerevisiae Lalvin QA23"	"Saccharomyces"	"559292"	0.0257447016120214	4008	"seqid"	0.001	FALSE
"67"	"764099"	6	3916	0.00153217568947906	121	32.0624390837628	3.10854558136586	"Saccharomyces cerevisiae Vin13"	"Saccharomyces"	"559292"	0.0182577929729255	3915	"seqid"	0.001	FALSE
"68"	"764100"	8	4014	0.00199302441454908	123.25	29.2513735941213	3.11504143379252	"Saccharomyces cerevisiae VL3"	"Saccharomyces"	"559292"	0.0209715277432721	4013	"seqid"	0.001	FALSE
"69"	"764101"	20	3560	0.00561797752808989	135.35	40.1985532601675	2.52231189696518	"Saccharomyces cerevisiae FostersO"	"Saccharomyces"	"559292"	0.024195636937172	3558	"seqid"	0.001	FALSE
"70"	"764102"	5	3679	0.00135906496330525	112.8	11.3004424692133	3.20614814857712	"Saccharomyces cerevisiae FostersB"	"Saccharomyces"	"559292"	0.0195350543769865	3677	"seqid"	0.001	FALSE
"71"	"81972"	1907	32107	0.0593951474756284	116.922391190351	94.1628952759265	3.2454357296071	"Arabidopsis lyrata subsp. lyrata"	"Brassicaceae"	"3702"	0.229542956360853	32047	"seqid"	0.001	FALSE
"72"	"889517"	6	5439	0.00110314396028682	104.5	81.1264445171856	4.70856373904995	"Saccharomyces cerevisiae CEN.PK113-7D"	"Saccharomyces"	"559292"	0.00739195630741699	5439	"seqid"	0.001	FALSE
"73"	"9483"	223	42025	0.00530636525877454	86.7130044843049	67.0784008243237	5.92205090694715	"Callithrix jacchus"	"Primates"	"9606"	0.153942269896161	42024	"seqid"	0.001	TRUE
"74"	"9541"	68	17393	0.00390961881216581	83.9264705882353	39.5011113300949	5.99926575070083	"Macaca fascicularis"	"Primates"	"9544"	0.0945395764430365	17390	"seqid"	0.001	FALSE
"75"	"9544"	215	35537	0.00605003236063821	171.883720930233	173.926320379261	2.8011350143115	"Macaca mulatta"	"Primates"	"9606"	0.137769704285542	35537	"seqid"	0.001	TRUE
"76"	"9595"	348	27277	0.0127580012464714	81.0287356321839	75.304601675829	6.69023616705169	"Gorilla gorilla gorilla"	"Primates"	"9606"	0.128419469775598	27258	"seqid"	0.001	TRUE
"77"	"9598"	100	20126	0.00496869720759217	87.68	55.5775697797795	6.04732893770944	"Pan troglodytes"	"Primates"	"9606"	0.0902180358685192	20126	"seqid"	0.001	TRUE
"78"	"9601"	344	22856	0.0150507525376269	104.886627906977	71.8609074862504	4.84632871269841	"Pongo abelii"	"Primates"	"9606"	0.123122714877006	22849	"seqid"	0.001	TRUE
"79"	"9606"	1383	67896	0.0203693884764935	59.5148228488792	48.1759576842304	5.752339739328	"Homo sapiens"	"Primates"	"9598"	0.107893758394794	67831	"seqid"	0.001	TRUE
"80"	"1033177"	210	11490	0.0182767624020888	177.828571428571	100.842096201787	2.79720545269741	"Aspergillus kawachii IFO 4308"	"Aspergillus"	"425011"	0.205689937027412	11487	"seqid"	1e-04	FALSE
"81"	"112509"	2021	52336	0.0386158667074289	82.046511627907	44.1933064009361	4.26189595119906	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"4565"	0.173616967542258	52136	"seqid"	1e-04	FALSE
"82"	"1160506"	7	11396	0.000614250614250614	129.142857142857	72.2620891187732	3.64430163556358	"Aspergillus oryzae 3.042"	"Aspergillus"	"510516"	0.0349958388531123	11396	"seqid"	1e-04	FALSE
"83"	"1160507"	0	3653	0	NA	NA	NA	"Saccharomyces arboricola H-6"	"Saccharomyces"	"559292"	0.170234849813348	3653	"seqid"	1e-04	FALSE
"84"	"126793"	286	5389	0.0530710706995732	343.674825174825	284.385152465722	2.08115518032292	"Plasmodium vivax Sal-1"	"Plasmodium"	"5851"	0.363898150526879	5388	"seqid"	1e-04	TRUE
"85"	"135651"	3842	29874	0.128606815290888	194.951847995835	199.355841125241	2.21459386826679	"Caenorhabditis brenneri"	"Caenorhabditis"	"31234"	0.527163275742659	29800	"seqid"	1e-04	FALSE
"86"	"15368"	593	29933	0.019810911034644	147.391231028668	92.8030575495378	2.933333123538	"Brachypodium distachyon"	"Poaceae"	"4565"	0.358185359941256	29867	"seqid"	1e-04	TRUE
"87"	"226230"	6	3745	0.00160213618157543	70.8333333333333	19.8536310700755	5.80793354624546	"Saccharomyces kudriavzevii IFO 1802"	"Saccharomyces"	"559292"	0.184792471758191	3745	"seqid"	1e-04	FALSE
"88"	"227321"	828	10539	0.0785653287788215	136.95652173913	120.396073658309	3.74105708957115	"Aspergillus nidulans FGSC A4"	"Aspergillus"	"332952"	0.577442098311819	10506	"seqid"	1e-04	TRUE
"89"	"281687"	4901	35035	0.139888682745826	116.910018363599	92.2929025485514	2.84123877386887	"Caenorhabditis japonica"	"Caenorhabditis"	"31234"	0.505719739473716	34930	"seqid"	1e-04	TRUE
"90"	"285006"	9	5357	0.0016800448011947	65	35.5598087733891	7.31894597549048	"Saccharomyces cerevisiae RM11-1a"	"Saccharomyces"	"559292"	0.0112198677618227	5357	"seqid"	1e-04	FALSE
"91"	"30611"	58	19931	0.00291003963674678	68.5	53.5134841180813	7.9076647661556	"Otolemur garnettii"	"Primates"	"9606"	0.216942645978172	19931	"seqid"	1e-04	TRUE
"92"	"307796"	10	5860	0.00170648464163823	238.2	108.168387248771	2.03247504431384	"Saccharomyces cerevisiae YJM789"	"Saccharomyces"	"559292"	0.0155667540042017	5856	"seqid"	1e-04	FALSE
"93"	"31234"	2734	31235	0.0875300144069153	206.114118507681	194.540430045888	2.03996453752484	"Caenorhabditis remanei"	"Caenorhabditis"	"6238"	0.590133313418352	31204	"seqid"	1e-04	FALSE
"94"	"330879"	37	9649	0.00383459425847238	199.432432432432	159.321746534862	2.47022900238144	"Aspergillus fumigatus Af293"	"Aspergillus"	"451804"	0.021607070872244	9649	"seqid"	1e-04	TRUE
"95"	"332952"	857	13501	0.063476779497815	91.8518086347725	50.1665937234511	4.82057864758677	"Aspergillus flavus NRRL3357"	"Aspergillus"	"510516"	0.150137078442102	13494	"seqid"	1e-04	FALSE
"96"	"341663"	465	10416	0.0446428571428571	207.040860215054	125.211753604195	2.47621517945568	"Aspergillus terreus NIH2624"	"Aspergillus"	"332952"	0.522241147860039	10412	"seqid"	1e-04	FALSE
"97"	"344612"	273	9140	0.0298687089715536	129.304029304029	105.747023417429	3.90067034051522	"Aspergillus clavatus NRRL 1"	"Aspergillus"	"330879"	0.371042435238334	9139	"seqid"	1e-04	FALSE
"98"	"36329"	1	5353	0.000186811133943583	41	NA	18.6298169820263	"Plasmodium falciparum 3D7"	"Plasmodium"	"5843"	0.0586855559756306	5353	"seqid"	1e-04	TRUE
"99"	"3702"	1208	31570	0.0382641748495407	87.0455298013245	80.3934220964124	4.83509751605292	"Arabidopsis thaliana"	"Brassicaceae"	"81972"	0.183683562175537	31540	"seqid"	1e-04	TRUE
"100"	"380704"	196	10949	0.017901178189789	169.913265306122	88.5047738973239	2.8990797919234	"Aspergillus niger ATCC 1015"	"Aspergillus"	"425011"	0.0947263947468584	10946	"seqid"	1e-04	FALSE
"101"	"39946"	1498	37386	0.0400684748301503	136.070093457944	107.695380666141	2.81179619421692	"Oryza sativa Indica Group"	"Poaceae"	"39947"	0.13697466617441	37337	"seqid"	1e-04	FALSE
"102"	"39947"	11353	63155	0.17976407251999	129.54822513873	74.9282131465121	3.08728147690295	"Oryza sativa Japonica Group"	"Poaceae"	"39946"	0.304446488111413	62940	"seqid"	1e-04	TRUE
"103"	"425011"	2599	14066	0.184771790132234	165.415544440169	102.647466559442	3.03334573344332	"Aspergillus niger CBS 513.88"	"Aspergillus"	"380704"	0.238842969339758	14032	"seqid"	1e-04	FALSE
"104"	"451804"	143	9942	0.0143834238583786	153.426573426573	150.946333598761	3.18077300876143	"Aspergillus fumigatus A1163"	"Aspergillus"	"330879"	0.0409848676201851	9941	"seqid"	1e-04	FALSE
"105"	"4533"	5147	31948	0.161105546513084	111.651836020983	85.3873846574405	3.57908117686171	"Oryza brachyantha"	"Poaceae"	"39947"	0.359887709315809	31657	"seqid"	1e-04	FALSE
"106"	"4538"	572	31807	0.0179834627597699	116.966783216783	56.6391219754117	3.16805028745462	"Oryza glaberrima"	"Poaceae"	"39947"	0.096291479596381	31774	"seqid"	1e-04	FALSE
"107"	"4555"	5323	39107	0.136113739228271	74.9748262258125	55.1316122445178	5.66150996481026	"Setaria italica"	"Poaceae"	"4558"	0.431108113501303	38927	"seqid"	1e-04	TRUE
"108"	"4558"	914	32795	0.0278701021497179	120.286652078775	107.516701355039	3.260933661232	"Sorghum bicolor"	"Poaceae"	"4577"	0.408519599285584	32687	"seqid"	1e-04	TRUE
"109"	"4565"	1956	94457	0.0207078353113057	118.748977505112	56.0114426926227	2.50851435550246	"Triticum aestivum"	"Poaceae"	"4572"	0.203661478277644	94413	"seqid"	1e-04	FALSE
"110"	"4572"	3095	33312	0.0929094620557157	128.272051696284	66.0451133071108	3.02393145598028	"Triticum urartu"	"Poaceae"	"4565"	0.287451307955178	33178	"seqid"	1e-04	FALSE
"111"	"4577"	6957	58275	0.119382239382239	125.313640937186	81.9819013564018	2.88763028357591	"Zea mays"	"Poaceae"	"4558"	0.339519236553373	58085	"seqid"	1e-04	TRUE
"112"	"46245"	348	16756	0.0207686798758654	104.198275862069	54.8188349530221	4.9054916417972	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"7234"	0.0979559664263001	16749	"seqid"	1e-04	TRUE
"113"	"50452"	2418	23234	0.10407161917879	201.417287014061	161.811141948985	2.05522297874234	"Arabis alpina"	"Brassicaceae"	"3702"	0.358960419080593	23149	"seqid"	1e-04	FALSE
"114"	"510516"	59	12072	0.00488734261100066	173.271186440678	92.9691885386422	2.59931752177014	"Aspergillus oryzae RIB40"	"Aspergillus"	"1160506"	0.0604296724578995	12069	"seqid"	1e-04	FALSE
"115"	"51351"	1958	40806	0.0479831397343528	174.316649642492	129.734991230299	2.30633646750491	"Brassica rapa subsp. pekinensis"	"Brassicaceae"	"72664"	0.320277918110414	40777	"seqid"	1e-04	FALSE
"116"	"545124"	372	5450	0.068256880733945	95.5994623655914	73.0138878325333	4.70837745887325	"Saccharomyces cerevisiae AWRI1631"	"Saccharomyces"	"559292"	0.056485957777278	5441	"seqid"	1e-04	FALSE
"117"	"559292"	119	6718	0.0177136052396547	110.739495798319	33.8687552089628	4.11998614745249	"Saccharomyces cerevisiae S288c"	"Saccharomyces"	"643680"	0.0671422931857254	6713	"seqid"	1e-04	TRUE
"118"	"57266"	193	6296	0.0306543837357052	74.0103626943005	35.9471529988389	8.75764275393205	"Plasmodium falciparum 7G8"	"Plasmodium"	"5835"	0.0814411646540016	6291	"seqid"	1e-04	FALSE
"119"	"574961"	2	5193	0.000385133834007318	171	134.350288425444	2.88214870316483	"Saccharomyces cerevisiae JAY291"	"Saccharomyces"	"559292"	0.0114579189131954	5193	"seqid"	1e-04	FALSE
"120"	"5823"	3660	11618	0.315028404200379	45.1672131147541	25.2664925373859	7.43357425591498	"Plasmodium berghei ANKA"	"Plasmodium"	"73239"	0.360930059981858	11372	"seqid"	1e-04	TRUE
"121"	"5825"	4560	14553	0.313337456194599	45.093201754386	28.6973963066811	5.83360304553613	"Plasmodium chabaudi"	"Plasmodium"	"5823"	0.403307240711173	14331	"seqid"	1e-04	TRUE
"122"	"5835"	130	6105	0.0212940212940213	65.4384615384615	20.3782083967102	10.0462689598967	"Plasmodium falciparum CAMP/Malaysia"	"Plasmodium"	"57266"	0.0717230492660144	6102	"seqid"	1e-04	FALSE
"123"	"5843"	86	5918	0.014531936465022	54.9767441860465	27.2655683511322	12.0349646996906	"Plasmodium falciparum NF54"	"Plasmodium"	"36329"	0.0537440529713963	5905	"seqid"	1e-04	FALSE
"124"	"5851"	123	5100	0.0241176470588235	430.390243902439	307.965471615435	1.70486598092811	"Plasmodium knowlesi strain H"	"Plasmodium"	"126793"	0.332260222613902	5100	"seqid"	1e-04	TRUE
"125"	"5854"	0	5630	0	NA	NA	NA	"Plasmodium reichenowi"	"Plasmodium"	"36329"	0.154550785014562	5630	"seqid"	1e-04	FALSE
"126"	"61853"	139	19733	0.00704403790604571	201.784172661871	143.557379458374	2.69789478481049	"Nomascus leucogenys"	"Primates"	"9606"	0.117869704766227	19733	"seqid"	1e-04	TRUE
"127"	"6238"	2228	21657	0.1028766680519	160.473070017953	195.682102221591	2.668765645008	"Caenorhabditis briggsae"	"Caenorhabditis"	"31234"	0.451881229797518	21573	"seqid"	1e-04	TRUE
"128"	"6239"	1545	26199	0.0589717164777282	139.53074433657	121.600032355836	3.3454616879639	"Caenorhabditis elegans"	"Caenorhabditis"	"31234"	0.419401121025147	26164	"seqid"	1e-04	TRUE
"129"	"643680"	4	5982	0.000668672684720829	58.75	36.8091926924059	7.57642419367468	"Saccharomyces cerevisiae EC1118"	"Saccharomyces"	"559292"	0.0150594101299856	5982	"seqid"	1e-04	FALSE
"130"	"721032"	19	5776	0.00328947368421053	146.684210526316	87.1442307847417	3.27343003406907	"Saccharomyces cerevisiae Kyokai no. 7"	"Saccharomyces"	"559292"	0.0161852147619903	5776	"seqid"	1e-04	FALSE
"131"	"7217"	725	14965	0.0484463748747077	138.161379310345	158.624883782466	3.6906259103477	"Drosophila ananassae"	"Drosophila"	"7245"	0.352614093518994	14956	"seqid"	1e-04	FALSE
"132"	"7220"	474	14881	0.0318526980713662	95.8481012658228	48.3497883817119	5.22794247572395	"Drosophila erecta"	"Drosophila"	"7245"	0.159054494917831	14874	"seqid"	1e-04	FALSE
"133"	"7222"	624	14753	0.0422964820714431	105.264423076923	63.5293864106081	4.92221162937511	"Drosophila grimshawi"	"Drosophila"	"7244"	0.323431153975947	14719	"seqid"	1e-04	FALSE
"134"	"7227"	158	20047	0.00788147852546516	98.1392405063291	76.4069283844861	6.79179964085078	"Drosophila melanogaster"	"Drosophila"	"7238"	0.107278384399603	20043	"seqid"	1e-04	TRUE
"135"	"7230"	854	14522	0.0588073268144884	115.857142857143	87.4857119228896	4.47538455542697	"Drosophila mojavensis"	"Drosophila"	"7244"	0.310893671332344	14477	"seqid"	1e-04	FALSE
"136"	"7234"	662	16754	0.0395129521308344	101.509063444109	56.0565610948814	4.36326444526141	"Drosophila persimilis"	"Drosophila"	"46245"	0.0952225508447272	16744	"seqid"	1e-04	FALSE
